species,age,length
Sole,5,29
Sole,10,35
Sole,3,28
Sole,6,34
Sole,2,24
Sole,7,31
Sole,3,28
Sole,7,32
Sole,5,29
Sole,4,28
Sole,10,35
Sole,9,34
Sole,8,35
Sole,2,24
Sole,6,34
Sole,3,28
Sole,6,34
Sole,8,34
Sole,10,35
Sole,7,31
Sole,4,28
Sole,2,24
Sole,9,34
Sole,5,29
Sole,9,34
Sole,3,26
Sole,4,28
Sole,6,34
Sole,8,34
Sole,2,24
Sole,5,28
Sole,7,30
Sole,6,35
Sole,24,39
Sole,18,38
Sole,16,38
Sole,19,38
Sole,17,36
Sole,10,37
Sole,29,39
Sole,11,36
Sole,26,38
Sole,9,36
Sole,12,39
Sole,2,25
Sole,4,32
Sole,15,36
Sole,13,38
Sole,3,31
Sole,5,32
Sole,14,38
Sole,8,37
Sole,7,37
Plaice,8,31
Plaice,11,32
Plaice,2,28
Plaice,5,31
Plaice,13,33
Plaice,12,32
Plaice,15,29
Plaice,7,33
Plaice,16,31
Plaice,4,30
Plaice,3,30
Plaice,9,33
Plaice,17,28
Plaice,1,25
Plaice,14,32
Plaice,10,32
Plaice,6,32
Plaice,14,40
Plaice,15,40
Plaice,17,43
Plaice,8,40
Plaice,2,34
Plaice,7,39
Plaice,4,36
Plaice,10,39
Plaice,12,39
Plaice,5,37
Plaice,16,40
Plaice,3,36
Plaice,6,39
Plaice,11,39
Plaice,13,40
Plaice,9,39
Sole,19,38
Sole,15,35
Sole,26,38
Sole,10,35
Sole,3,29
Sole,2,24
Sole,16,37
Sole,14,37
Sole,11,35
Sole,9,34
Sole,17,36
Sole,12,38
Sole,8,35
Sole,6,32
Sole,7,34
Sole,18,38
Sole,13,37
Sole,4,30
Sole,5,31
Plaice,4,32
Plaice,16,37
Plaice,17,36
Plaice,9,32
Plaice,2,32
Plaice,13,33
Plaice,1,30
Plaice,3,32
Plaice,15,37
Plaice,7,32
Plaice,5,32
Plaice,6,32
Plaice,12,34
Plaice,11,33
Plaice,14,38
Plaice,8,32
Plaice,10,33
Sole,17,33
Sole,20,33
Sole,11,33
Sole,2,27
Sole,13,33
Sole,9,28
Sole,6,29
Sole,14,33
Sole,1,23
Sole,19,33
Sole,16,33
Sole,5,31
Sole,12,33
Sole,10,33
Sole,4,30
Sole,8,33
Sole,3,29
Sole,7,33
Sole,10,33
Sole,3,32
Sole,6,34
Sole,7,33
Sole,8,33
Sole,11,33
Sole,4,33
Sole,12,33
Sole,9,33
Sole,5,34
Sole,17,33
Sole,20,33
Sole,13,33
Sole,16,33
Sole,2,28
Sole,14,33
Sole,19,33
Plaice,6,33
Plaice,14,39
Plaice,5,33
Plaice,12,36
Plaice,4,33
Plaice,2,32
Plaice,16,38
Plaice,1,29
Plaice,10,35
Plaice,15,38
Plaice,13,35
Plaice,9,33
Plaice,3,33
Plaice,7,33
Plaice,11,34
Plaice,8,34
Sole,14,33
Sole,8,33
Sole,16,33
Sole,20,33
Sole,9,33
Sole,6,32
Sole,10,33
Sole,5,34
Sole,13,33
Sole,19,33
Sole,12,33
Sole,4,31
Sole,3,30
Sole,2,28
Sole,11,33
Sole,17,33
Sole,7,33
Plaice,9,40
Plaice,17,48
Plaice,15,47
Plaice,4,36
Plaice,5,37
Plaice,11,41
Plaice,16,44
